minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,code
0,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,BURNOT20250920
0,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,BURNOT20250920
0,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,BURNOT20250920
0,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,BURNOT20250920
0,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,0,0.0,1.0,0.0,0.0,0.0,0.0,BURNOT20250920
1,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,1,0.06084294989705086,0.9878314100205898,0.012168589979410172,0.0,0.0,0.0,BURNOT20250920
1,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,1,0.06084294989705086,0.9756628200411797,0.024337179958820343,0.0,0.0,0.0,BURNOT20250920
1,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,1,0.06084294989705086,0.9634942300617695,0.036505769938230515,0.0,0.0,0.0,BURNOT20250920
1,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,1,0.06084294989705086,0.9513256400823593,0.048674359917640686,0.0,0.0,0.0,BURNOT20250920
1,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,BURNOT20250920
2,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,BURNOT20250920
2,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,BURNOT20250920
2,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,BURNOT20250920
2,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,BURNOT20250920
2,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,BURNOT20250920
3,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,BURNOT20250920
3,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,BURNOT20250920
3,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,BURNOT20250920
3,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,BURNOT20250920
3,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,BURNOT20250920
4,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,BURNOT20250920
4,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,BURNOT20250920
4,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,BURNOT20250920
4,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,BURNOT20250920
4,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,BURNOT20250920
5,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,BURNOT20250920
5,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,BURNOT20250920
5,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,BURNOT20250920
5,Burnley,0,0.0,1.0,0.0,0.0,0.0,0.0,Nottingham Forest,1,0.06084294989705086,0.9391570501029491,0.06084294989705086,0.0,0.0,0.0,BURNOT20250920
