minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,code
0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
1,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
1,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
1,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
1,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
1,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
2,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
2,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
2,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
2,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
2,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
3,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
3,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
3,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
3,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
3,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
4,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
4,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
4,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
4,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
4,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
5,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
5,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
5,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
5,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
5,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
6,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
6,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
6,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
6,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
6,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
7,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
7,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
7,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
7,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
7,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,SUNBRE20250830
