minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,code
0,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,BRIFLH20250816
0,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,BRIFLH20250816
0,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,BRIFLH20250816
0,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,BRIFLH20250816
0,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,Fulham,0,0.0,1.0,0.0,0.0,0.0,0.0,BRIFLH20250816
1,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,Fulham,0,0.09471102803945541,0.9810577943921089,0.01894220560789108,0.0,0.0,0.0,BRIFLH20250816
1,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,Fulham,0,0.09471102803945541,0.9621155887842179,0.03788441121578216,0.0,0.0,0.0,BRIFLH20250816
1,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,Fulham,0,0.09471102803945541,0.9431733831763267,0.056826616823673244,0.0,0.0,0.0,BRIFLH20250816
1,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,Fulham,0,0.09471102803945541,0.9242311775684356,0.07576882243156433,0.0,0.0,0.0,BRIFLH20250816
1,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,Fulham,0,0.09471102803945541,0.9052889719605446,0.09471102803945541,0.0,0.0,0.0,BRIFLH20250816
2,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,Fulham,0,0.09471102803945541,0.9052889719605446,0.09471102803945541,0.0,0.0,0.0,BRIFLH20250816
2,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,Fulham,0,0.09471102803945541,0.9052889719605446,0.09471102803945541,0.0,0.0,0.0,BRIFLH20250816
2,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,Fulham,0,0.09471102803945541,0.9052889719605446,0.09471102803945541,0.0,0.0,0.0,BRIFLH20250816
2,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,Fulham,0,0.09471102803945541,0.9052889719605446,0.09471102803945541,0.0,0.0,0.0,BRIFLH20250816
2,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,Fulham,0,0.09471102803945541,0.9052889719605446,0.09471102803945541,0.0,0.0,0.0,BRIFLH20250816
3,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,Fulham,0,0.09471102803945541,0.9052889719605446,0.09471102803945541,0.0,0.0,0.0,BRIFLH20250816
3,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,Fulham,0,0.09471102803945541,0.9052889719605446,0.09471102803945541,0.0,0.0,0.0,BRIFLH20250816
3,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,Fulham,0,0.09471102803945541,0.9052889719605446,0.09471102803945541,0.0,0.0,0.0,BRIFLH20250816
3,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,Fulham,0,0.09471102803945541,0.9052889719605446,0.09471102803945541,0.0,0.0,0.0,BRIFLH20250816
3,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,Fulham,0,0.09471102803945541,0.9052889719605446,0.09471102803945541,0.0,0.0,0.0,BRIFLH20250816
4,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,Fulham,0,0.09471102803945541,0.9052889719605446,0.09471102803945541,0.0,0.0,0.0,BRIFLH20250816
4,Brighton,0,0.0,1.0,0.0,0.0,0.0,0.0,Fulham,0,0.09471102803945541,0.9052889719605446,0.09471102803945541,0.0,0.0,0.0,BRIFLH20250816
