minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,code
0,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
0,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
0,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
0,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
0,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
1,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
1,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
1,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
1,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
1,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
2,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
2,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
2,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
2,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
2,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
3,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
3,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
3,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
3,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
3,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
4,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
4,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
4,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
4,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
4,West Ham,0,0.0,1.0,0.0,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
5,West Ham,1,0.015151547268033,0.9969696905463934,0.0030303094536066,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
5,West Ham,1,0.015151547268033,0.9939393810927868,0.0060606189072132,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
5,West Ham,1,0.015151547268033,0.9909090716391802,0.0090909283608198,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
5,West Ham,1,0.015151547268033,0.9878787621855736,0.0121212378144264,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
5,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
6,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
6,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
6,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
6,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
6,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
7,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
7,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
7,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
7,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
7,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
8,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
8,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
8,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
8,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
8,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
9,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
9,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
9,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
9,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
9,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
10,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
10,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
10,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
10,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
10,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
11,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
11,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
11,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
11,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
11,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
12,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
12,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
12,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
12,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
12,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
13,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
13,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
13,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
13,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
13,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,0,0.0,1.0,0.0,0.0,0.0,0.0,WHUCHE20250822
14,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,1,0.5352728962898254,0.8929454207420349,0.10705457925796509,0.0,0.0,0.0,WHUCHE20250822
14,West Ham,1,0.015151547268033,0.984848452731967,0.015151547268033,0.0,0.0,0.0,Chelsea,1,0.5352728962898254,0.7858908414840698,0.21410915851593018,0.0,0.0,0.0,WHUCHE20250822
