minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,code
0,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,EVEAVL20250913
0,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,EVEAVL20250913
0,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,EVEAVL20250913
0,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,EVEAVL20250913
0,Everton,0,0.0,1.0,0.0,0.0,0.0,0.0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,EVEAVL20250913
1,Everton,0,0.15289561450481415,0.9694208770990371,0.03057912290096283,0.0,0.0,0.0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,EVEAVL20250913
1,Everton,0,0.15289561450481415,0.9388417541980744,0.06115824580192566,0.0,0.0,0.0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,EVEAVL20250913
1,Everton,0,0.15289561450481415,0.9082626312971115,0.09173736870288848,0.0,0.0,0.0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,EVEAVL20250913
1,Everton,0,0.15289561450481415,0.8776835083961487,0.12231649160385132,0.0,0.0,0.0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,EVEAVL20250913
1,Everton,0,0.15289561450481415,0.8471043854951859,0.15289561450481415,0.0,0.0,0.0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,EVEAVL20250913
2,Everton,0,0.15289561450481415,0.8471043854951859,0.15289561450481415,0.0,0.0,0.0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,EVEAVL20250913
2,Everton,0,0.15289561450481415,0.8471043854951859,0.15289561450481415,0.0,0.0,0.0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,EVEAVL20250913
2,Everton,0,0.15289561450481415,0.8471043854951859,0.15289561450481415,0.0,0.0,0.0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,EVEAVL20250913
2,Everton,0,0.15289561450481415,0.8471043854951859,0.15289561450481415,0.0,0.0,0.0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,EVEAVL20250913
2,Everton,0,0.15289561450481415,0.8471043854951859,0.15289561450481415,0.0,0.0,0.0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,EVEAVL20250913
3,Everton,0,0.15289561450481415,0.8471043854951859,0.15289561450481415,0.0,0.0,0.0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,EVEAVL20250913
3,Everton,0,0.15289561450481415,0.8471043854951859,0.15289561450481415,0.0,0.0,0.0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,EVEAVL20250913
3,Everton,0,0.15289561450481415,0.8471043854951859,0.15289561450481415,0.0,0.0,0.0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,EVEAVL20250913
3,Everton,0,0.15289561450481415,0.8471043854951859,0.15289561450481415,0.0,0.0,0.0,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,EVEAVL20250913
